Brand,Model,Processor,Generation,RAM (GB),SSD (GB),HDD (GB),Condition,Price (PKR)
HP,EliteBook 840 G5,Ryzen 7,11th Gen,8,256,0,Like New,68167
HP,EliteBook 840 G5,Celeron,7th Gen,8,256,1000,B-Grade,35436
HP,ProBook 450 G6,Core i5,6th Gen,16,0,500,Slightly Used,55001
Acer,Nitro 5,Core i5,7th Gen,32,0,1000,B-Grade,64505
HP,EliteBook 840 G5,Core i5,11th Gen,8,0,500,Slightly Used,74879
Acer,Nitro 5,Celeron,10th Gen,8,0,500,Slightly Used,53348
Dell,Precision 5520,Ryzen 3,10th Gen,4,256,500,B-Grade,47936
HP,Pavilion 15,Core i5,11th Gen,4,128,500,B-Grade,70118
HP,ZBook 15,Core i5,8th Gen,16,128,0,Slightly Used,60359
Microsoft,Surface Book 2,Core i5,10th Gen,8,1024,500,Slightly Used,82375
MSI,GF63 Thin,Core i5,7th Gen,16,256,1000,Slightly Used,56253
Apple,MacBook Air 2017,Core i5,8th Gen,32,128,0,Like New,124156
Apple,MacBook Pro M2,M2,N/A,32,256,500,Like New,100065
Asus,VivoBook 15,Core i7,7th Gen,32,1024,0,Like New,94828
Asus,VivoBook 15,Core i5,10th Gen,4,512,0,Slightly Used,69000
MSI,Modern 14,Core i5,7th Gen,4,512,0,B-Grade,50421
Acer,Swift 3,Ryzen 5,8th Gen,16,1024,1000,Like New,70174
HP,ProBook 450 G6,Core i7,8th Gen,32,1024,0,A-Grade,102931
Acer,Nitro 5,Core i7,6th Gen,16,1024,500,Like New,85365
MSI,Prestige 15,Core i3,7th Gen,32,0,1000,Slightly Used,51161
Microsoft,Surface Pro 7,Core i7,10th Gen,32,0,500,Slightly Used,95907
Dell,Latitude 7480,Ryzen 5,7th Gen,4,128,0,B-Grade,27711
Lenovo,ThinkPad L480,Core i5,7th Gen,4,0,1000,Like New,43749
Apple,MacBook Air M1,M1,N/A,32,512,500,B-Grade,97523
HP,Spectre x360,Core i5,6th Gen,16,128,500,Like New,55818
MSI,Prestige 15,Ryzen 5,6th Gen,4,1024,0,A-Grade,41032
Microsoft,Surface Laptop 3,Ryzen 5,7th Gen,8,0,500,A-Grade,28701
Lenovo,ThinkPad X1 Carbon,Core i5,10th Gen,4,256,500,A-Grade,68767
Microsoft,Surface Book 2,Ryzen 3,10th Gen,16,128,500,A-Grade,61396
Dell,Inspiron 15,Core i3,6th Gen,8,256,1000,B-Grade,36879
Acer,Aspire 5,Celeron,6th Gen,4,0,1000,Like New,32535
Microsoft,Surface Laptop 3,Core i3,11th Gen,32,0,1000,A-Grade,82515
Microsoft,Surface Pro 7,Core i7,8th Gen,4,1024,1000,B-Grade,75786
Acer,Swift 3,Core i5,6th Gen,4,1024,0,A-Grade,58088
Microsoft,Surface Pro 7,Core i3,10th Gen,32,256,0,B-Grade,73018
Microsoft,Surface Book 2,Ryzen 7,8th Gen,8,512,1000,Slightly Used,50196
Asus,VivoBook 15,Celeron,8th Gen,8,512,500,Slightly Used,50791
Apple,MacBook Air 2017,Core i5,9th Gen,8,256,0,Slightly Used,89490
HP,Spectre x360,Core i5,8th Gen,8,256,500,B-Grade,61186
Dell,XPS 13,Ryzen 3,11th Gen,8,1024,0,A-Grade,77988
Acer,Nitro 5,Celeron,8th Gen,8,0,1000,Slightly Used,39305
MSI,Prestige 15,Core i5,7th Gen,4,1024,1000,Like New,59357
Microsoft,Surface Book 2,Core i5,10th Gen,32,0,500,Slightly Used,83813
Asus,VivoBook 15,Core i5,7th Gen,16,512,0,B-Grade,62854
MSI,Prestige 15,Core i3,11th Gen,16,512,1000,A-Grade,78379
Microsoft,Surface Book 2,Core i5,11th Gen,32,512,500,Slightly Used,107918
Dell,Latitude 5400,Core i3,7th Gen,16,128,0,Like New,44866
Apple,MacBook Pro M2,M2,N/A,16,1024,500,Slightly Used,92152
Acer,Nitro 5,Ryzen 3,7th Gen,8,128,500,Slightly Used,30180
MSI,GF63 Thin,Ryzen 5,11th Gen,8,128,1000,Slightly Used,62698
Microsoft,Surface Laptop 3,Core i5,11th Gen,8,1024,500,Slightly Used,93266
Apple,MacBook Pro M2,M2,N/A,4,256,500,A-Grade,73102
Dell,XPS 13,Ryzen 7,10th Gen,4,256,0,Like New,53773
Apple,MacBook Pro 2015,Core i7,5th Gen,8,256,500,Slightly Used,100807
MSI,Modern 14,Core i3,7th Gen,32,1024,0,B-Grade,64701
Asus,TUF Gaming,Core i7,6th Gen,4,1024,1000,Slightly Used,64242
Acer,Aspire 5,Ryzen 7,8th Gen,8,256,0,A-Grade,42984
Apple,MacBook Pro 2015,Core i5,5th Gen,4,0,500,B-Grade,84198
Dell,Inspiron 15,Ryzen 5,6th Gen,16,0,1000,Like New,42653
Apple,MacBook Pro 2015,Core i5,8th Gen,4,512,500,A-Grade,99502
Dell,Inspiron 15,Core i5,6th Gen,4,0,500,B-Grade,44804
Microsoft,Surface Pro 7,Ryzen 7,10th Gen,4,256,1000,A-Grade,53262
Apple,MacBook Air M1,M1,N/A,4,128,0,B-Grade,66922
Apple,MacBook Air M1,M1,N/A,4,512,1000,Like New,77577
Dell,XPS 13,Ryzen 3,8th Gen,16,128,1000,A-Grade,45272
Microsoft,Surface Book 2,Ryzen 5,11th Gen,32,128,0,Slightly Used,81877
Lenovo,ThinkPad L480,Ryzen 7,11th Gen,4,256,1000,B-Grade,58463
Apple,MacBook Pro 2015,Core i5,8th Gen,16,512,1000,Slightly Used,110504
Lenovo,ThinkPad T470,Core i5,8th Gen,8,0,500,Like New,59021
HP,EliteBook 840 G5,Ryzen 7,8th Gen,16,1024,500,B-Grade,65793
HP,Spectre x360,Core i5,6th Gen,8,512,1000,A-Grade,54615
MSI,Modern 14,Core i5,8th Gen,32,256,1000,B-Grade,79217
Lenovo,ThinkPad X1 Carbon,Ryzen 5,7th Gen,32,512,0,A-Grade,61719
Dell,Precision 5520,Core i7,11th Gen,16,128,500,A-Grade,93861
